,dt,channel,username,message,neg,neu,pos,compound
0,2021-05-01 15:54:21,doublelift,flokivalhalla,anyone got a tv series to recommend watching ?,0.0,0.762,0.238,0.3612
1,2021-05-01 15:54:24,doublelift,pocketrhinolol,hi i hope ur having a nice day,0.0,0.513,0.487,0.6908
2,2021-05-01 15:54:24,doublelift,hhill18,_song,0.0,1.0,0.0,0.0
3,2021-05-01 15:54:24,doublelift,budgetlunge,kaisa Pog,0.0,0.333,0.667,0.25
4,2021-05-01 15:54:24,doublelift,deathhoodshots,TARZANED,0.0,1.0,0.0,0.0
5,2021-05-01 15:54:28,doublelift,infinitetriple,@Doublelift when is the next hot tub stream?,0.0,1.0,0.0,0.0
6,2021-05-01 15:54:30,doublelift,domesticaty,DOUBLELIFT I LOVE YOU!!!,0.0,0.371,0.629,0.7249
7,2021-05-01 15:54:32,doublelift,dextroslol,"@lidtft yes but u have the least amount of control over the game as adc, because u need a team to peel or u just insta die",0.166,0.776,0.057,-0.6705
8,2021-05-01 15:54:32,doublelift :tarzaned,omg_shadow,O,0.0,1.0,0.0,0.0
9,2021-05-01 15:54:32,doublelift,bnld1,When do we get to see DL Ezreal? @doublelift,0.0,1.0,0.0,0.0
10,2021-05-01 15:54:34,doublelift,zzzabel,How often do pros and streams play against each other in challenger? @doublelift,0.0,0.738,0.262,0.4404
11,2021-05-01 15:54:36,doublelift,godlesschef,Tule-Fearless,0.0,1.0,0.0,0.0
12,2021-05-01 15:54:36,doublelift,jinzokt,@flokivalhalla oni chichi series,0.0,1.0,0.0,0.0
13,2021-05-01 15:54:36,doublelift,lavdrim_osu,tarzaned 4Weird,0.0,1.0,0.0,0.0
14,2021-05-01 15:54:37,doublelift,s1l3ntas,is that tarzaned?,0.0,1.0,0.0,0.0
15,2021-05-01 15:54:38,doublelift,nsbenzo33ss,anivia and kaisa is best combo trust,0.0,0.4,0.6,0.8176
16,2021-05-01 15:54:40,doublelift,a_champ17,go watch old perkz vods,0.0,1.0,0.0,0.0
17,2021-05-01 15:54:47,doublelift,shiny00,KAISA NOT XAYAH,0.0,1.0,0.0,0.0
18,2021-05-01 15:54:50,doublelift,boostedplaywe,tarzaned mental monkaW,0.5,0.5,0.0,-0.25
19,2021-05-01 15:54:50,doublelift,wyrmoslol,@a_champ17 this,0.0,1.0,0.0,0.0
20,2021-05-01 15:54:59,doublelift,zaracata,i love you peter,0.0,0.417,0.583,0.6369
21,2021-05-01 15:55:02,doublelift,jinzokt,!rank,0.0,1.0,0.0,0.0
22,2021-05-01 15:55:02,doublelift,nightbot,Doublelift's current rank: Challenger I || Peng Yiliang's current rank: Master I,0.0,0.88,0.12,0.128
23,2021-05-01 15:55:02,doublelift,boba_tapioca,Tarzaned about to donate lp,0.0,1.0,0.0,0.0
24,2021-05-01 15:55:10,doublelift,nightbot,Check Doublelift's Socials! Youtube: youtube.com/c/Doublelift Twitter: twitter.com/Doublelift1 Instagram: instagram.com/yiliangpeng,0.0,1.0,0.0,0.0
25,2021-05-01 15:55:10,doublelift,zooomii,dw tarzaned on your team,0.0,1.0,0.0,0.0
26,2021-05-01 15:55:13,doublelift,doublelift_worshipper,anivia sucks so bad,0.778,0.222,0.0,-0.79
27,2021-05-01 15:55:13,doublelift,graypanda666xxx,i saw gala khs to rammus LUL,0.0,1.0,0.0,0.0
28,2021-05-01 15:55:15,doublelift,jump_violin,perkz POGGERS,0.0,0.268,0.732,0.4084
29,2021-05-01 15:55:15,doublelift,crazygoose,COPIUM,0.0,1.0,0.0,0.0
30,2021-05-01 15:55:16,doublelift,blam1ng,best size? Keepo,0.0,0.323,0.677,0.6369
31,2021-05-01 15:55:16,doublelift,nsbenzo33ss,wall procs kaisa passive,0.0,0.625,0.375,0.2023
32,2021-05-01 15:55:17,doublelift,a_champ17,@wyrmos or kobe in LEC too,0.0,1.0,0.0,0.0
33,2021-05-01 15:55:18,doublelift,molbak95,PepeLaugh,0.0,1.0,0.0,0.0
34,2021-05-01 15:55:21,doublelift,exsoldier69,Uzi goat,0.0,1.0,0.0,0.0
35,2021-05-01 15:55:21,doublelift,peckiish,Will you be able to co-cast msi?,0.0,1.0,0.0,0.0
36,2021-05-01 15:55:24,doublelift,vs3ven,JKL,0.0,1.0,0.0,0.0
37,2021-05-01 15:55:24,doublelift,frodoshairyfeet,Perkz was on a level of his own,0.0,1.0,0.0,0.0
38,2021-05-01 15:55:25,doublelift,theinvisibleem,Will you stream Val sometime?,0.0,1.0,0.0,0.0
39,2021-05-01 15:55:27,doublelift,domesticaty,DOUBLELIFT YOU GIVE ME MOTIVATION AND YOU ARE THE BEST LEAGUE OF LEGENDS PLAYER IN THE WHOLE WORLD I HAVE YOU SET AS MY WALLPAPER I LOVE YOU!!!,0.0,0.682,0.318,0.9131
40,2021-05-01 15:55:27,doublelift,staypuft609,just go to youtube type in uzi qaq and he still is popping off every day llol,0.0,1.0,0.0,0.0
41,2021-05-01 15:55:27,doublelift,thefoxninja17,Xayah was op back then,0.0,1.0,0.0,0.0
42,2021-05-01 15:55:28,doublelift,wildgooch,is ig kaisa the best kaisa skin ?,0.0,0.625,0.375,0.6369
43,2021-05-01 15:55:30,doublelift,ruggles9,@doublelift thanks for the response ill take a look,0.22,0.551,0.228,0.0258
44,2021-05-01 15:55:32,doublelift,analysisplz,Anivia LUL,0.0,1.0,0.0,0.0
45,2021-05-01 15:55:33,doublelift :no co-streams for mis,derpdott,(,0.0,1.0,0.0,0.0
46,2021-05-01 15:55:35,doublelift,jinzokt,"Doublelift, Tarzaned and Perz Pog",0.0,0.667,0.333,0.25
47,2021-05-01 15:55:35,doublelift,dapoe,Mystics,0.0,1.0,0.0,0.0
48,2021-05-01 15:55:37,doublelift,cr1s2,Anivia looks a bit troll,0.0,1.0,0.0,0.0
49,2021-05-01 15:55:40,doublelift,shiny00,ADC IS FINE XD,0.0,0.263,0.737,0.6808
50,2021-05-01 15:55:40,doublelift,retartgringo,speaking of troll supports,0.0,0.545,0.455,0.3612
51,2021-05-01 15:55:42,doublelift,boostedplaywe,this is content,0.0,1.0,0.0,0.0
52,2021-05-01 15:55:44,doublelift,juzekjuzeksjsh,Tarzaned = free game ez,0.0,0.341,0.659,0.7003
53,2021-05-01 15:55:45,doublelift,zzstarlight4,"you cant lose, you have tarzaned",0.0,0.689,0.311,0.3089
54,2021-05-01 15:55:48,doublelift,allmightpoggers,zzz,1.0,0.0,0.0,-0.296
55,2021-05-01 15:55:50,doublelift,lolgmork,kinda pathetic to dodge imo,0.46,0.54,0.0,-0.5279
56,2021-05-01 15:55:50,doublelift,doublelift_worshipper,go smurf,0.0,1.0,0.0,0.0
