id,dt,channel,username,message,neg,neu,pos,compound
0,5/1/2021 15:54,doublelift,flokivalhalla,anyone got a tv series to recommend watching ?,0,0.762,0.238,0.3612
1,5/1/2021 15:54,doublelift,pocketrhinolol,hi i hope ur having a nice day,0,0.513,0.487,0.6908
2,5/1/2021 15:54,doublelift,hhill18,_song,0,1,0,0
3,5/1/2021 15:54,doublelift,budgetlunge,kaisa Pog,0,0.333,0.667,0.25
4,5/1/2021 15:54,doublelift,deathhoodshots,TARZANED,0,1,0,0
5,5/1/2021 15:54,doublelift,infinitetriple,@Doublelift when is the next hot tub stream?,0,1,0,0
6,5/1/2021 15:54,doublelift,domesticaty,DOUBLELIFT I LOVE YOU!!!,0,0.371,0.629,0.7249
7,5/1/2021 15:54,doublelift,dextroslol,"@lidtft yes but u have the least amount of control over the game as adc, because u need a team to peel or u just insta die",0.166,0.776,0.057,-0.6705
8,5/1/2021 15:54,doublelift :tarzaned,omg_shadow,O,0,1,0,0
9,5/1/2021 15:54,doublelift,bnld1,When do we get to see DL Ezreal? @doublelift,0,1,0,0
10,5/1/2021 15:54,doublelift,zzzabel,How often do pros and streams play against each other in challenger? @doublelift,0,0.738,0.262,0.4404
11,5/1/2021 15:54,doublelift,godlesschef,Tule-Fearless,0,1,0,0
12,5/1/2021 15:54,doublelift,jinzokt,@flokivalhalla oni chichi series,0,1,0,0
13,5/1/2021 15:54,doublelift,lavdrim_osu,tarzaned 4Weird,0,1,0,0
14,5/1/2021 15:54,doublelift,s1l3ntas,is that tarzaned?,0,1,0,0
15,5/1/2021 15:54,doublelift,nsbenzo33ss,anivia and kaisa is best combo trust,0,0.4,0.6,0.8176
16,5/1/2021 15:54,doublelift,a_champ17,go watch old perkz vods,0,1,0,0
17,5/1/2021 15:54,doublelift,shiny00,KAISA NOT XAYAH,0,1,0,0
18,5/1/2021 15:54,doublelift,boostedplaywe,tarzaned mental monkaW,0.5,0.5,0,-0.25
19,5/1/2021 15:54,doublelift,wyrmoslol,@a_champ17 this,0,1,0,0
20,5/1/2021 15:54,doublelift,zaracata,i love you peter,0,0.417,0.583,0.6369
21,5/1/2021 15:55,doublelift,jinzokt,!rank,0,1,0,0
22,5/1/2021 15:55,doublelift,nightbot,Doublelift's current rank: Challenger I || Peng Yiliang's current rank: Master I,0,0.88,0.12,0.128
