W,dt,channel,username,message,neg,neu,pos,compound
0,4/27/2021 18:30,loltyler1,eric4211,Pog,0,0,1,0.25
1,4/27/2021 18:30,loltyler1,bestarcherconverge,HUGEEE,0,1,0,0
2,4/27/2021 18:30,loltyler1,raunosaul,kekw,0,1,0,0
3,4/27/2021 18:30,loltyler1,lovelypleb,BARON KEKW,0,1,0,0
4,4/27/2021 18:30,loltyler1,trashbunny_,BOBBY KEKW,0,1,0,0
5,4/27/2021 18:30,loltyler1,tchamploo,NO BARON KEKW,0.524,0.476,0,-0.296
6,4/27/2021 18:30,loltyler1,drc1oud,LLLMMAOOO OBBBYYYY,0,1,0,0
7,4/27/2021 18:30,loltyler1,julio123nitsh,FANBOY,0,1,0,0
8,4/27/2021 18:30,loltyler1,oreonick11,T1 abusing this champ before it gets nerfed KEKW,0.22,0.514,0.266,0.1593
9,4/27/2021 18:30,loltyler1,loldownsyndra,PepeLaugh,0,1,0,0
10,4/27/2021 18:31,loltyler1,pyhrohx,FANBOYS LOL,0,0.263,0.737,0.4215
11,4/27/2021 18:31,loltyler1,j1mmy99,its sick and tired...,0.756,0.244,0,-0.7351
12,4/27/2021 18:31,loltyler1,leoh92,DOUBTERS FUCK YOURSELVES,0.853,0.147,0,-0.7003
13,4/27/2021 18:31,loltyler1,kaiseruchiha,EZ,0,0,1,0.3612
14,4/27/2021 18:31,loltyler1,probationed,17 min baron,0,1,0,0
15,4/27/2021 18:31,loltyler1,ossbaby,POG,0,0,1,0.25
16,4/27/2021 18:31,loltyler1,crouchtv,poggers,0,0,1,0.25
17,4/27/2021 18:31,loltyler1,imaginary1050,KEKW,0,1,0,0
18,4/27/2021 18:31,loltyler1,pyhrohx,FANBOYS? LOL,0,0.263,0.737,0.4215
19,4/27/2021 18:31,loltyler1,mayooi_,JG DIFF PogU,0,0.5,0.5,0.25
20,4/27/2021 18:31,loltyler1,drc1oud,BOBBY KEKW,0,1,0,0
21,4/27/2021 18:31,loltyler1,thesaku,loltrick1,0,1,0,0
22,4/27/2021 18:31,loltyler1,green_ky,17m baron pokeU,0,1,0,0
23,4/27/2021 18:31,loltyler1,drewtrinh,baron isnt up lul,0,1,0,0
24,4/27/2021 18:31,loltyler1,sonicsack1,17 MIN BARON PogU,0,0.6,0.4,0.25
25,4/27/2021 18:31,loltyler1,thedauntlessbunny,!scrims,0,1,0,0
26,4/27/2021 18:31,loltyler1,iambeta69,JG DIF,0,1,0,0
27,4/27/2021 18:31,loltyler1,raunosaul,BARON KEKW,0,1,0,0
28,4/27/2021 18:31,loltyler1,bmbroski,BOBBY KEKW,0,1,0,0
29,4/27/2021 18:31,loltyler1,jayma2,heraYoutube,0,1,0,0
30,4/27/2021 18:31,loltyler1,tcodeine,TIRED AND SICK,0.861,0.139,0,-0.7351
31,4/27/2021 18:31,loltyler1,mikelpee,PepeLaugh,0,1,0,0
32,4/27/2021 18:31,loltyler1,spedmow,Say it PauseChamp P,0,1,0,0
33,4/27/2021 18:31,loltyler1,firga4,JG DIFF PogU,0,0.5,0.5,0.25
34,4/27/2021 18:31,loltyler1,advancesf,B OMEGALUL B,0,1,0,0
35,4/27/2021 18:31,loltyler1,maxx_ezz,NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace,0.879,0.121,0,-0.9945
36,4/27/2021 18:31,loltyler1,fatcat2k5,EZ CLAPO,0,0.286,0.714,0.3612
37,4/27/2021 18:31,loltyler1,marocyp,POG,0,0,1,0.25
38,4/27/2021 18:31,loltyler1,novaviic,baron pog,0,0.333,0.667,0.25
39,4/27/2021 18:31,loltyler1,trexjohnson10,BOBBY IS FUCKING CRAZY,0.473,0.527,0,-0.4005
40,4/27/2021 18:31,loltyler1,lolderk21,EZ,0,0,1,0.3612
41,4/27/2021 18:31,loltyler1,elijano,bobby KEKW,0,1,0,0
42,4/27/2021 18:31,loltyler1,qeberq,JG DIFF PogU,0,0.5,0.5,0.25
43,4/27/2021 18:31,loltyler1,elpachow,KEKW KEKW KEKW KEKW,0,1,0,0
44,4/27/2021 18:31,loltyler1,123taylan456,gg,0,0,1,0.296
45,4/27/2021 18:31,loltyler1,bestarcherconverge,BOBBY SO TOXIC WTF,0.576,0.424,0,-0.6222
46,4/27/2021 18:31,loltyler1,its_peter,U fkin TROLLED btw omg,0,1,0,0
47,4/27/2021 18:31,loltyler1,nesim2001,JG??? didn he miss the smite,0.3,0.7,0,-0.2824
48,4/27/2021 18:31,loltyler1,j4ckfair,bobby really getting cocky,0.372,0.628,0,-0.197
49,4/27/2021 18:31,loltyler1,rokkes3,WAYTOODANK WAYTOODANK,0,1,0,0
50,4/27/2021 18:31,loltyler1,polosox,EZ,0,0,1,0.3612
51,4/27/2021 18:31,loltyler1,julio123nitsh,EGOPLAYERS KEKW,0,1,0,0
52,4/27/2021 18:31,loltyler1,xephreen14,BARON,0,1,0,0
53,4/27/2021 18:31,loltyler1,macaiyla,this sounds hype,0,1,0,0
54,4/27/2021 18:31,loltyler1,asteriamateria,modCheck bobby fans modCheck bobby fans modCheck bobby fans modCheck bobby fans modCheck bobby fans,0,1,0,0
55,4/27/2021 18:31,loltyler1,dale1526,Bobby WeirdChamp,0.667,0.333,0,-0.25
56,4/27/2021 18:31,loltyler1,q_spamer,KEKW,0,1,0,0
57,4/27/2021 18:31,loltyler1,veganismz,BOBBY KEKW,0,1,0,0
58,4/27/2021 18:31,loltyler1,realgoosewayne,tyler1Diff tyler1Diff,0,1,0,0
59,4/27/2021 18:31,loltyler1,jeulian1,ITS FANBOY FRIDAY,0,1,0,0
