dt,channel,username,message
2021-04-27 18:30:57,loltyler1,eric4211,Pog
2021-04-27 18:30:57,loltyler1,bestarcherconverge,HUGEEE
2021-04-27 18:30:57,loltyler1,raunosaul,kekw
2021-04-27 18:30:57,loltyler1,lovelypleb,BARON KEKW
2021-04-27 18:30:58,loltyler1,trashbunny_,BOBBY KEKW
2021-04-27 18:30:58,loltyler1,tchamploo,NO BARON KEKW
2021-04-27 18:30:58,loltyler1,drc1oud,LLLMMAOOO OBBBYYYY
2021-04-27 18:30:58,loltyler1,julio123nitsh,FANBOY
2021-04-27 18:30:59,loltyler1,oreonick11,T1 abusing this champ before it gets nerfed KEKW
2021-04-27 18:30:59,loltyler1,loldownsyndra,PepeLaugh
2021-04-27 18:31:00,loltyler1,pyhrohx,FANBOYS LOL
2021-04-27 18:31:01,loltyler1,j1mmy99,its sick and tired...
2021-04-27 18:31:02,loltyler1,leoh92,DOUBTERS FUCK YOURSELVES
2021-04-27 18:31:02,loltyler1,kaiseruchiha,EZ
2021-04-27 18:31:02,loltyler1,probationed,17 min baron
2021-04-27 18:31:03,loltyler1,ossbaby,POG
2021-04-27 18:31:03,loltyler1,crouchtv,poggers
2021-04-27 18:31:05,loltyler1,imaginary1050,KEKW
2021-04-27 18:31:05,loltyler1,pyhrohx,FANBOYS? LOL
2021-04-27 18:31:06,loltyler1,mayooi_,JG DIFF PogU
2021-04-27 18:31:06,loltyler1,drc1oud,BOBBY KEKW
2021-04-27 18:31:07,loltyler1,thesaku,loltrick1
2021-04-27 18:31:07,loltyler1,green_ky,17m baron pokeU
2021-04-27 18:31:07,loltyler1,drewtrinh,baron isnt up lul
2021-04-27 18:31:07,loltyler1,sonicsack1,17 MIN BARON PogU
2021-04-27 18:31:07,loltyler1,thedauntlessbunny,!scrims
2021-04-27 18:31:07,loltyler1,iambeta69,JG DIF
2021-04-27 18:31:07,loltyler1,raunosaul,BARON KEKW
2021-04-27 18:31:07,loltyler1,bmbroski,BOBBY KEKW
2021-04-27 18:31:07,loltyler1,jayma2,heraYoutube
2021-04-27 18:31:08,loltyler1,tcodeine,TIRED AND SICK
2021-04-27 18:31:08,loltyler1,mikelpee,PepeLaugh
2021-04-27 18:31:08,loltyler1,spedmow,Say it PauseChamp P
2021-04-27 18:31:08,loltyler1,firga4,JG DIFF PogU
2021-04-27 18:31:08,loltyler1,advancesf,B OMEGALUL B
2021-04-27 18:31:08,loltyler1,maxx_ezz,NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace NERD RAGE WutFace
2021-04-27 18:31:09,loltyler1,fatcat2k5,EZ CLAPO
2021-04-27 18:31:09,loltyler1,marocyp,POG
2021-04-27 18:31:09,loltyler1,novaviic,baron pog
2021-04-27 18:31:09,loltyler1,trexjohnson10,BOBBY IS FUCKING CRAZY
2021-04-27 18:31:09,loltyler1,lolderk21,EZ
2021-04-27 18:31:09,loltyler1,elijano,bobby KEKW
2021-04-27 18:31:09,loltyler1,qeberq,JG DIFF PogU
2021-04-27 18:31:09,loltyler1,elpachow,KEKW KEKW KEKW KEKW
2021-04-27 18:31:10,loltyler1,123taylan456,gg
2021-04-27 18:31:10,loltyler1,bestarcherconverge,BOBBY SO TOXIC WTF
2021-04-27 18:31:10,loltyler1,its_peter,U fkin TROLLED btw omg
2021-04-27 18:31:10,loltyler1,nesim2001,JG??? didn he miss the smite
2021-04-27 18:31:10,loltyler1,j4ckfair,bobby really getting cocky
2021-04-27 18:31:10,loltyler1,rokkes3,WAYTOODANK WAYTOODANK
2021-04-27 18:31:10,loltyler1,polosox,EZ
2021-04-27 18:31:10,loltyler1,julio123nitsh,EGOPLAYERS KEKW
2021-04-27 18:31:11,loltyler1,xephreen14,BARON
2021-04-27 18:31:11,loltyler1,macaiyla,this sounds hype
2021-04-27 18:31:11,loltyler1,asteriamateria,modCheck bobby fans modCheck bobby fans modCheck bobby fans modCheck bobby fans modCheck bobby fans
2021-04-27 18:31:11,loltyler1,dale1526,Bobby WeirdChamp
2021-04-27 18:31:11,loltyler1,q_spamer,KEKW
2021-04-27 18:31:11,loltyler1,veganismz,BOBBY KEKW
2021-04-27 18:31:11,loltyler1,realgoosewayne,tyler1Diff tyler1Diff
2021-04-27 18:31:12,loltyler1,jeulian1,ITS FANBOY FRIDAY
2021-04-27 18:31:12,loltyler1,meomeoo99,Top Gappp
2021-04-27 18:31:12,loltyler1,albearthebear,BOBBY UNLEASHED monkaW
2021-04-27 18:31:12,loltyler1,bearhawkman,BigBrother
2021-04-27 18:31:12,loltyler1,trashbunny_,BOBBY ON CRACK OR SUM KEKW
2021-04-27 18:31:12,loltyler1,chowders,KEKW jg diff
2021-04-27 18:31:12,loltyler1,iushlous,POG
2021-04-27 18:31:12,loltyler1,raunosaul,JG DIFF KEKW
2021-04-27 18:31:13,loltyler1,canoaderemo,MikeHogu
2021-04-27 18:31:13,loltyler1,tchiko0o,SCRIMS !
2021-04-27 18:31:13,loltyler1,abdellahtaikk,BigBrother
2021-04-27 18:31:13,loltyler1,jester1369,T1 hype af
2021-04-27 18:31:14,loltyler1,zyralicious,POG
2021-04-27 18:31:14,loltyler1,elpachow,BigBrother
2021-04-27 18:31:14,loltyler1,jayma2,heraYoutube LUL
